id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms
flea,1,777,1209,90118,0.70,5462,n/a,61408,67108,148216,-,0.89,-,yes,-
nautilus,1,892,82553,341719,19.44,0,n/a,309808,331836,141564,-,19.44,-,yes,-
thunar,1,585,23513,354091,23.08,0,n/a,337104,342472,0,-,23.08,-,yes,-
pcmanfm,1,429,35755,112534,24.86,0,n/a,95312,100304,0,-,24.86,-,yes,-
nemo,1,780,22477,470655,25.87,0,n/a,451512,458416,0,-,25.87,-,yes,-
dolphin,1,830,5493,215295,8.97,0,n/a,146140,186268,0,-,8.97,-,yes,-
strata,1,758,1804,97312,1.39,0,n/a,67020,92600,99812,-,1.45,-,yes,-
yazi,1,290,1962,100220,2.77,0,n/a,85256,99924,0,-,2.77,-,yes,-
mc,1,256,2342,43768,0.88,0,n/a,41708,43396,0,-,0.88,-,yes,-
broot,1,275,466,4705,0.01,0,n/a,1324,4588,0,-,0.01,-,yes,-
nnn,1,274,2039,11051,0.78,0,n/a,10388,10876,0,-,0.78,-,yes,-
lf,1,276,2123,154763,2.17,0,n/a,151728,152540,0,-,2.17,-,yes,-
ranger,1,273,8597,639344,6.96,0,n/a,636616,637468,0,-,6.96,-,yes,-
xplr,1,294,3599,221592,2.35,0,n/a,216748,221508,0,-,2.35,-,yes,-
superfile,1,273,2138,95960,1.10,0,n/a,81640,95856,0,-,1.10,-,yes,-
flea,2,748,1209,90190,0.73,5334,n/a,61760,67412,148216,-,0.91,-,yes,-
nautilus,2,796,79016,343097,18.40,0,n/a,311188,333392,141564,-,18.40,-,yes,-
thunar,2,513,22585,355717,22.20,0,n/a,338584,343960,0,-,22.20,-,yes,-
pcmanfm,2,412,34945,112553,24.48,0,n/a,95328,100268,0,-,24.48,-,yes,-
nemo,2,754,21805,471347,24.74,0,n/a,452136,459076,0,-,24.74,-,yes,-
dolphin,2,699,5434,216234,8.97,0,n/a,147400,187020,0,-,8.97,-,yes,-
strata,2,632,1641,96202,1.35,0,n/a,65976,91496,99812,-,1.35,-,yes,-
yazi,2,274,1972,103702,2.74,0,n/a,88804,103408,0,-,2.74,-,yes,-
mc,2,274,2441,44959,0.91,0,n/a,43192,44684,0,-,0.91,-,yes,-
broot,2,274,484,4893,0.01,0,n/a,1328,4776,0,-,0.01,-,yes,-
nnn,2,273,1988,11051,0.78,0,n/a,10388,10872,0,-,0.78,-,yes,-
lf,2,278,2085,160941,2.07,0,n/a,157880,158756,0,-,2.07,-,yes,-
ranger,2,278,8629,639360,6.97,0,n/a,636656,637496,0,-,6.97,-,yes,-
xplr,2,293,3606,222949,2.35,0,n/a,217828,222872,0,-,2.35,-,yes,-
superfile,2,275,2143,98017,1.12,0,n/a,83700,97916,0,-,1.12,-,yes,-
flea,3,749,1194,89497,0.70,5454,n/a,61048,66828,148216,-,0.88,-,yes,-
nautilus,3,798,79828,343838,18.61,0,n/a,312016,334072,141564,-,18.61,-,yes,-
thunar,3,534,22718,354254,22.33,0,n/a,337132,342576,0,-,22.33,-,yes,-
pcmanfm,3,415,35820,112579,24.77,0,n/a,95316,100312,0,-,24.77,-,yes,-
nemo,3,784,22231,470520,25.34,0,n/a,451392,458296,0,-,25.34,-,yes,-
dolphin,3,680,5391,216303,8.96,0,n/a,146148,188556,0,-,8.96,-,yes,-
strata,3,631,1672,96096,1.39,0,n/a,64816,91664,99812,-,1.39,-,yes,-
yazi,3,277,1984,123280,2.84,0,n/a,108356,122992,0,-,2.84,-,yes,-
mc,3,272,2353,43801,0.89,0,n/a,41704,43436,0,-,0.89,-,yes,-
broot,3,275,471,4684,0.01,0,n/a,1328,4568,0,-,0.01,-,yes,-
nnn,3,268,2029,11041,0.79,0,n/a,10388,10860,0,-,0.79,-,yes,-
lf,3,277,2187,152756,2.15,0,n/a,149840,150432,0,-,2.15,-,yes,-
ranger,3,280,8749,639315,7.10,0,n/a,636656,637448,0,-,7.10,-,yes,-
xplr,3,273,3604,222605,2.36,0,n/a,217820,222536,0,-,2.36,-,yes,-
superfile,3,275,2171,94170,1.12,0,n/a,79572,94068,0,-,1.12,-,yes,-
