id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms
flea,1,942,1659,117737,0.96,6328,n/a,85236,91112,146164,-,1.12,-,yes,-
nautilus,1,862,79893,343582,18.98,0,n/a,311412,333688,141564,-,18.98,-,yes,-
thunar,1,547,23206,354087,22.89,0,n/a,337284,342696,0,-,22.89,-,yes,-
pcmanfm,1,407,34989,112214,24.49,0,n/a,95428,100300,0,-,24.49,-,yes,-
nemo,1,741,22340,470184,25.44,0,n/a,451516,458316,0,-,25.44,-,yes,-
dolphin,1,662,5657,218195,8.91,0,n/a,147708,182264,0,-,8.91,-,yes,-
strata,1,723,1752,96299,1.40,0,n/a,65092,91836,99812,-,1.40,-,yes,-
yazi,1,272,2007,105287,2.91,0,n/a,90332,104996,0,-,2.91,-,yes,-
mc,1,294,2475,43760,0.92,0,n/a,41720,43360,0,-,0.92,-,yes,-
broot,1,273,485,4618,0.01,0,n/a,1324,4504,0,-,0.01,-,yes,-
nnn,1,278,2038,11081,0.81,0,n/a,10388,10908,0,-,0.81,-,yes,-
lf,1,275,2073,142587,2.11,0,n/a,139440,140428,0,-,2.11,-,yes,-
ranger,1,277,8898,638737,7.17,0,n/a,636012,636840,0,-,7.17,-,yes,-
xplr,1,297,3636,221564,2.39,0,n/a,216440,221492,0,-,2.39,-,yes,-
superfile,1,272,2180,96086,1.12,0,n/a,81596,95968,0,-,1.12,-,yes,-
flea,2,787,1464,118564,0.92,6228,n/a,85136,91000,146164,-,1.09,-,yes,-
nautilus,2,798,80152,341411,19.12,0,n/a,309468,331484,141564,-,19.12,-,yes,-
thunar,2,507,23103,353563,22.70,0,n/a,336912,342196,0,-,22.70,-,yes,-
pcmanfm,2,416,35347,112341,24.85,0,n/a,95412,100424,0,-,24.85,-,yes,-
nemo,2,747,22726,469994,25.90,0,n/a,451152,458116,0,-,25.90,-,yes,-
dolphin,2,664,5442,212465,8.90,0,n/a,147496,171236,0,-,8.90,-,yes,-
strata,2,660,1642,97786,1.36,0,n/a,67764,93080,99812,-,1.36,-,yes,-
yazi,2,291,1955,122690,2.79,0,n/a,107812,122400,0,-,2.79,-,yes,-
mc,2,270,2432,43875,0.91,0,n/a,41720,43460,0,-,0.91,-,yes,-
broot,2,275,466,4673,0.01,0,n/a,1328,4552,0,-,0.01,-,yes,-
nnn,2,275,2061,11042,0.79,0,n/a,10388,10868,0,-,0.79,-,yes,-
lf,2,273,2101,161437,2.14,0,n/a,158308,159280,0,-,2.14,-,yes,-
ranger,2,275,8619,638709,6.97,0,n/a,636008,636816,0,-,6.97,-,yes,-
xplr,2,278,3601,222941,2.35,0,n/a,217844,222872,0,-,2.35,-,yes,-
superfile,2,278,2157,96128,1.09,0,n/a,81520,96016,0,-,1.09,-,yes,-
flea,3,803,1303,117223,0.96,6170,n/a,84504,90584,146164,-,1.13,-,yes,-
nautilus,3,816,79450,342042,18.73,0,n/a,310072,332172,141564,-,18.73,-,yes,-
thunar,3,512,23024,354188,22.65,0,n/a,337420,342796,0,-,22.65,-,yes,-
pcmanfm,3,434,35467,112210,24.49,0,n/a,95380,100340,0,-,24.49,-,yes,-
nemo,3,742,22262,470390,25.57,0,n/a,451560,458532,0,-,25.57,-,yes,-
dolphin,3,668,5355,215830,8.99,0,n/a,148108,177264,0,-,8.99,-,yes,-
strata,3,640,1649,96607,1.37,0,n/a,66308,91856,99812,-,1.37,-,yes,-
yazi,3,295,1980,122352,2.75,0,n/a,107456,122072,0,-,2.75,-,yes,-
mc,3,274,2457,44506,0.91,0,n/a,42816,44228,0,-,0.91,-,yes,-
broot,3,276,497,4822,0.01,0,n/a,1332,4712,0,-,0.01,-,yes,-
nnn,3,276,2056,11049,0.79,0,n/a,10392,10872,0,-,0.79,-,yes,-
lf,3,275,2080,152845,2.10,0,n/a,149772,150628,0,-,2.10,-,yes,-
ranger,3,275,8619,639462,6.97,0,n/a,636724,637568,0,-,6.97,-,yes,-
xplr,3,298,3656,222578,2.37,0,n/a,217800,222512,0,-,2.37,-,yes,-
superfile,3,274,2140,97992,1.12,0,n/a,83664,97880,0,-,1.12,-,yes,-
